Probability,Id
0.8809,0
0.9554,1
0.9824,2
0.9576,3
0.8474,4
0.9569,5
0.9502,6
0.9861,7
0.991,8
0.6652,9
0.9845,10
0.9779,11
0.9874,12
0.947,13
0.9214,14
0.9801,15
0.9616,16
0.9801,17
0.9186,18
0.9052,19
0.9834,20
0.9805,21
0.9895,22
0.6834,23
0.9568,24
0.9809,25
0.8564,26
0.9824,27
0.9261,28
0.9781,29
0.916,30
0.9854,31
0.9816,32
0.9001,33
0.6141,34
0.9246,35
0.9617,36
0.9798,37
0.9827,38
0.9839,39
0.7137,40
0.6275,41
0.8745,42
0.9864,43
0.9681,44
0.9896,45
0.9896,46
0.9782,47
0.9774,48
0.9536,49
0.9822,50
0.9815,51
0.985,52
0.8656,53
0.9739,54
0.938,55
0.9881,56
0.9141,57
0.9481,58
0.9437,59
0.971,60
0.9851,61
0.9783,62
0.9878,63
0.9806,64
0.974,65
0.9832,66
0.8591,67
0.9854,68
0.688,69
0.9661,70
0.7713,71
0.985,72
0.8556,73
0.9782,74
0.9389,75
0.9199,76
0.9483,77
0.9825,78
0.9814,79
0.9791,80
0.9803,81
0.9784,82
0.9868,83
0.9738,84
0.9795,85
0.9384,86
0.9815,87
0.9636,88
0.9786,89
0.9455,90
0.979,91
0.9851,92
0.9713,93
0.9877,94
0.9637,95
0.9637,96
0.8835,97
0.9823,98
0.9816,99
0.9072,100
0.893,101
0.9868,102
0.9085,103
0.9781,104
0.9692,105
0.7841,106
0.984,107
0.9867,108
0.9753,109
0.9722,110
0.974,111
0.9767,112
0.8388,113
0.8446,114
0.9871,115
0.9896,116
0.8501,117
0.98,118
0.9849,119
0.9813,120
0.9775,121
0.9785,122
0.5932,123
0.985,124
0.9808,125
0.9895,126
0.9794,127
0.9871,128
0.9449,129
0.9844,130
0.9013,131
0.9886,132
0.8995,133
0.9807,134
0.9859,135
0.8525,136
0.9822,137
0.9876,138
0.9821,139
0.9901,140
0.981,141
0.9896,142
0.9799,143
0.8451,144
0.9823,145
0.9895,146
0.8234,147
0.9855,148
0.9452,149
0.9892,150
0.9839,151
0.9881,152
0.9777,153
0.9813,154
0.9734,155
0.972,156
0.9886,157
0.7702,158
0.978,159
0.9889,160
0.9843,161
0.9701,162
0.9139,163
0.9838,164
0.9634,165
0.5085,166
0.968,167
0.7413,168
0.9836,169
0.9901,170
0.9808,171
0.9769,172
0.9325,173
0.9789,174
0.6752,175
0.9685,176
0.9106,177
0.9848,178
0.9877,179
0.9813,180
0.9849,181
0.9706,182
0.9831,183
0.8161,184
